timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence,temperature
2020-02-28 13:49:53-06:00,34.11816403269768,-118.55510017834604,26.474040000000002,534.4000000000001,5172,17.838,17838.0,152,,,32
2020-02-28 13:49:54-06:00,34.11812505684793,-118.55509389191866,26.47832,534.5999999999999,5173,17.3988,17398.8,153,,,32
2020-02-28 13:49:55-06:00,34.118090188130736,-118.5550760384649,26.482509999999998,534.8,5174,16.794,16794.0,153,,,32
2020-02-28 13:49:56-06:00,34.11805666051805,-118.5550535749644,26.486759999999997,534.8,5174,16.729200000000002,16729.2,155,,,32
2020-02-28 13:49:57-06:00,34.11802623420954,-118.55502650141716,26.49095,534.8,5174,16.4268,16426.8,155,,,32
2020-02-28 13:49:58-06:00,34.11799413152039,-118.55500085279346,26.49522,535.0,5175,15.318,15318.0,156,,,32
2020-02-28 13:49:59-06:00,34.11796471104026,-118.5549742821604,26.49931,535.2,5176,15.1164,15116.4,156,,,32
2020-02-28 13:50:00-06:00,34.11793638020754,-118.5549481306225,26.50327,535.2,5176,14.814000000000002,14814.0,155,,,32
2020-02-28 13:50:01-06:00,34.11790603771806,-118.55492332018912,26.507330000000003,535.5999999999999,5178,14.7816,14781.6,155,,,32
2020-02-28 13:50:02-06:00,34.11787326447666,-118.55490169487894,26.51148,535.8,5179,14.544,14544.0,156,,,32
2020-02-28 13:50:03-06:00,34.11784267053008,-118.55487763881683,26.51553,536.0,5180,14.4432,14443.2,156,,,32
2020-02-28 13:50:04-06:00,34.11781132221222,-118.55485735461116,26.519470000000002,536.2,5181,14.4108,14410.800000000001,157,,,32
2020-02-28 13:50:05-06:00,34.11778072826564,-118.55483958497643,26.52321,536.4000000000001,5182,14.4108,14410.800000000001,157,,,32
2020-02-28 13:50:06-06:00,34.11774745211005,-118.55482508428395,26.52713,536.5999999999999,5183,14.209200000000001,14209.2,157,,,32
2020-02-28 13:50:07-06:00,34.11771409213543,-118.55481192469597,26.53102,537.0,5185,14.1768,14176.800000000001,157,,,32
2020-02-28 13:50:08-06:00,34.11767897196114,-118.55480094440281,26.53505,537.2,5186,14.1084,14108.4,157,,,32
2020-02-28 13:50:09-06:00,34.1176447737962,-118.55479247868061,26.538919999999997,537.4000000000001,5187,14.1084,14108.4,157,,,32
2020-02-28 13:50:10-06:00,34.117609821259975,-118.55478828772902,26.542810000000003,537.5999999999999,5188,14.1084,14108.4,157,,,32
2020-02-28 13:50:11-06:00,34.117573695257306,-118.55478711426258,26.54682,538.0,5190,14.076,14076.0,158,,,32
2020-02-28 13:50:12-06:00,34.11753765307367,-118.55478719808161,26.5508,538.2,5191,14.076,14076.0,157,,,32
2020-02-28 13:50:13-06:00,34.11750202998519,-118.55479222722352,26.55477,538.4000000000001,5192,14.0076,14007.6,158,,,32
2020-02-28 13:50:14-06:00,34.11746724508703,-118.55480245314538,26.55874,538.5999999999999,5193,13.975200000000001,13975.2,158,,,32
2020-02-28 13:50:15-06:00,34.117432963103056,-118.55481393635273,26.56268,538.8,5194,14.0076,14007.6,159,,,32
